Rows,Cols,Limit,EES Time,Regular Time,EES Score,Regular Score
100,10,10,0.014073610305786133,0.0009298324584960938,-55.734986452872235,nan
100,50,10,0.013869047164916992,0.0005621910095214844,-3.6173218362862842,nan
100,100,10,0.02299022674560547,0.0028884410858154297,-7.828254052519674,nan
100,500,10,0.02005290985107422,0.05410027503967285,-0.6751273377747168,nan
100,1000,10,0.024677276611328125,0.11950063705444336,-0.4044477284921193,nan
100,5000,10,0.04608488082885742,4.968899726867676,0.28205801569163835,nan
500,10,10,0.014680147171020508,0.0022034645080566406,-3.4462754050489277,nan
500,50,10,0.018162250518798828,0.0036668777465820312,-67.05905795984233,nan
500,100,10,0.019098997116088867,0.005499124526977539,-8.888712459990892,nan
500,500,10,0.027115345001220703,0.03699541091918945,-3.219116636048991,nan
500,1000,10,0.03059554100036621,0.15244078636169434,-3.1580653461007318,nan
500,5000,10,0.07268857955932617,4.831711530685425,-0.29060613487656717,nan
1000,10,10,0.015784502029418945,0.0022535324096679688,-2.7079382896033724,nan
1000,50,10,0.019756555557250977,0.009051084518432617,-8.20613202210027,nan
1000,100,10,0.01982879638671875,0.005339384078979492,-7.503065344054589,nan
1000,500,10,0.03079700469970703,0.05080580711364746,-3.4538206169732506,nan
1000,1000,10,0.041548728942871094,0.1486823558807373,-6.28038959715545,nan
1000,5000,10,0.13048267364501953,5.5416131019592285,-0.6252150037745716,nan
2500,10,10,0.01811981201171875,0.07597160339355469,-3.340516235479625,nan
2500,50,10,0.021477222442626953,0.06231260299682617,-8.109187925199091,nan
2500,100,10,0.03216242790222168,0.10036540031433105,-6.664740233725226,nan
2500,500,10,0.05164599418640137,0.14748501777648926,-3.9560366454765896,nan
2500,1000,10,0.09502410888671875,0.27111196517944336,-5.1117440407306844,nan
2500,5000,10,1.153609037399292,5.673162460327148,-1.632516898874083,nan
5000,10,10,0.021886348724365234,0.1728196144104004,-7.490365382872821,nan
5000,50,10,0.02913069725036621,0.20145440101623535,-3.125143478647224,nan
5000,100,10,0.038973331451416016,0.20452094078063965,-5.817369320830272,nan
5000,500,10,0.08800339698791504,0.3135344982147217,-6.940406810093828,nan
5000,1000,10,0.1900491714477539,0.4983348846435547,-5.10037343713258,nan
5000,5000,10,3.3810248374938965,7.6335999965667725,-2.1384084908361367,nan
10000,10,10,0.034542083740234375,0.5382518768310547,-2.37950356528474,nan
10000,50,10,0.054515838623046875,0.4533805847167969,-3.0354374632133494,nan
10000,100,10,0.0655665397644043,0.5027279853820801,-6.18299856611814,nan
10000,500,10,0.4237492084503174,0.9095132350921631,-7.76371008467178,nan
10000,1000,10,1.6533589363098145,1.2595643997192383,-6.526282553609473,nan
10000,5000,10,7.499180316925049,9.892650604248047,-4.743900659080307,nan
15000,10,10,0.032707929611206055,0.8529086112976074,-2.4509667475250527,nan
15000,50,10,0.0780937671661377,0.865119218826294,-3.62499569296145,nan
15000,100,10,0.09762358665466309,0.9460632801055908,-4.161953371376082,nan
15000,500,10,0.8975238800048828,1.5452256202697754,-5.366074664479972,nan
15000,1000,10,3.1979806423187256,2.3091282844543457,-4.862723879133303,nan
15000,5000,10,9.741880178451538,13.689835548400879,-5.33124096474735,nan
20000,10,10,0.03912639617919922,1.4065508842468262,-2.625487022813652,nan
20000,50,10,0.07971882820129395,1.5105135440826416,-2.612813690533849,nan
20000,100,10,0.11907505989074707,1.7062249183654785,-4.254661327238507,nan
20000,500,10,1.0111541748046875,2.5709803104400635,-8.690506270014257,nan
20000,1000,10,2.6690964698791504,3.7538578510284424,-7.820567268246777,nan
20000,5000,10,11.700783014297485,19.96336603164673,-4.256106914685818,nan
